company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
"Simple Feast",Copenhagen,Food,150,1,2022-09-07,Unknown,Denmark,173
Soluto,"Tel Aviv",Support,120,1,2022-07-24,Acquired,Israel,18
Sorabel,Jakarta,Retail,NULL,1,2020-07-23,"Series B",Indonesia,27
"Stay Alfred",Spokane,Travel,221,1,2020-05-20,"Series B","United States",62
"Stockwell AI","SF Bay Area",Retail,NULL,1,2020-06-15,"Series B","United States",10
Stoqo,Jakarta,Food,250,1,2020-04-25,"Series A",Indonesia,NULL
Subspace,"Los Angeles",Infrastructure,NULL,1,2022-05-13,"Series B","United States",NULL
SummerBio,"SF Bay Area",Healthcare,101,1,2022-06-20,Unknown,"United States",7
SuperLearn,Bengaluru,Education,NULL,1,2022-06-21,Seed,India,0
"The Grommet",Boston,Retail,40,1,2022-06-09,Acquired,"United States",5
"The Modist",Dubai,Retail,NULL,1,2020-04-02,Unknown,"United Arab Emirates",NULL
"The Wing","New York City","Real Estate",NULL,1,2022-08-31,"Series C","United States",117
TutorMundi,"Sao Paulo",Education,4,1,2020-04-24,"Series A",Brazil,2
Udayy,Gurugram,Education,100,1,2022-06-01,Seed,India,2
"Volt Bank",Sydney,Finance,NULL,1,2022-06-29,"Series E",Australia,90
WanderJaunt,"SF Bay Area",Travel,85,1,2022-07-01,"Series B","United States",26
Wavely,"SF Bay Area",HR,NULL,1,2022-11-10,Unknown,"United States",NULL
WeFit,Hanoi,Fitness,NULL,1,2020-05-13,Seed,Vietnam,1
WeTrade,Bengaluru,Crypto,NULL,1,2023-02-09,Unknown,India,NULL
Wyre,"SF Bay Area",Crypto,NULL,1,2023-01-04,Unknown,"United States",29
Yabonza,Sydney,"Real Estate",NULL,1,2022-07-29,Unknown,Australia,6
YourGrocer,Melbourne,Food,NULL,1,2022-12-19,Unknown,Australia,2
